Size,Time(Ms),Iterations
7100,3.3374,210694
7100,4.3267,210694
7100,3.7418,210694
7200,3.9158,206460
7200,3.307,206460
7200,3.6556,206460
7200,3.6943,213659
7200,3.3354,213659
7300,3.6345,209332
7300,3.7707,216631
7300,3.7635,216631
7300,3.6247,209332
7300,3.6719,216631
7400,3.7202,241783
7400,4.959,241783
7400,4.5806,234384
7400,4.0114,241783
7400,4.0016,241783
7500,4.2203,252546
7500,4.9739,245047
7500,4.0906,245047
7500,4.6883,230049
7500,3.6887,237548
7600,3.907,248316
7600,4.5973,233118
7600,4.5222,255915
7600,4.979,248316
7600,3.964,248316
7700,3.8301,243887
7700,4.6687,243887
7700,3.8058,259285
7700,4.0934,251586
7700,3.319,243887
7800,2.5698,247051
7800,2.184,254850
7800,3.2329,239252
7800,2.4567,247051
7800,2.187,247051
7900,3.5979,281819
7900,2.2063,281819
7900,2.3164,273920
7900,4.0183,250223
7900,2.1503,250223
8000,2.0823,269383
8000,2.8905,261384
8000,2.9219,277382
8000,3.4244,269383
8000,5.6874,293380
8100,6.8266,288956
8100,5.581,272758
8100,4.7944,272758
8100,5.7131,264659
8100,4.1539,272758
8200,9.3709,251530
8200,3.9678,267928
8200,5.1118,259729
8200,3.9391,284326
8200,5.5509,259729
8300,4.4236,254600
8300,5.7231,254600
8300,3.7303,254600
8300,5.1047,262899
8300,5.6855,254600
8400,3.9595,282855
8400,5.1074,266057
8400,5.5099,249259
8400,3.9335,257658
8400,6.6673,274456
8500,6.1472,277722
8500,6.1718,260724
8500,6.8871,277722
8500,6.6583,269223
8500,4.0087,269223
8600,4.1635,280989
8600,5.4476,280989
8600,3.9145,272390
8600,4.0905,280989
8600,4.3719,272390
8700,6.3297,292950
8700,6.69,284251
8700,4.2599,275552
8700,5.3174,310348
8700,6.8633,292950
8800,4.1824,278730
8800,5.0192,287529
8800,5.5318,278730
8800,7.3228,305127
8800,4.1548,287529
8900,4.1517,272985
8900,5.9373,272985
8900,4.0887,272985
8900,6.7296,272985
8900,6.9081,272985
9000,4.207,276056
9000,6.7335,276056
9000,7.0289,276056
9000,6.9694,285055
9000,4.0481,276056
9100,6.5929,288221
9100,7.023,270023
9100,6.6297,270023
9100,4.478,279122
9100,6.7867,270023
9200,4.6473,282195
9200,5.1484,282195
9200,6.03,291394
9200,4.1064,282195
9200,7.4865,309792
9300,5.1828,285261
9300,4.2051,285261
9300,7.7391,285261
9300,4.2235,275962
9300,5.4703,285261
9400,4.3906,288327
9400,4.5727,288327
9400,5.3778,278928
9400,6.3752,288327
9400,4.2623,288327
9500,5.4354,291397
9500,4.758,281898
9500,4.2175,281898
9500,4.4663,281898
9500,7.0414,291397
9600,4.5633,332854
9600,4.653,323255
9600,5.2302,304057
9600,4.671,313656
9600,7.6591,313656
9700,7.7554,307225
9700,8.0004,316924
9700,7.7781,316924
9700,4.6548,316924
9700,4.8072,336322
9800,6.8645,339778
